Outer fold,test_data_size,n_hidden_units,ANN_test_error,lambda,Linear_test_error,baseline_test_error,
1,93,1,470.1000366,60,403.4,467.7,1 & 93 & 1 & 470.2 & 60 & 403.4 & 467.7 //
2,93,1,404.4000244,60,354.2,407.3,2 & 93 & 1 & 404.5 & 60 & 354.2 & 407.3 //
3,92,2,348.5,100,277.7,379.5,3 & 92 & 2 & 348.5 & 100 & 277.7 & 379.5 //
4,92,1,417.9999695,100,374.6,463.2,4 & 92 & 1 & 418 & 100 & 374.6 & 463.2 //
5,92,1,323.1000061,100,296.8,425.3,5 & 92 & 1 & 323.2 & 100 & 296.8 & 425.3 //
6,,,393,,341.5,428.6,6 & 0 & 0 & 393 & 0 & 341.5 & 428.6 //
